Date,Reason,Split,Common,My amount,Total,MFA,Unnecessary,MERC,Paid by Harsh,Grocery,ASW
2/7/2025,Woolworth,0,2.5,1.5,4,0,0,1,1,0,Shaurrya
2/7/2025,Kaufland,5.55,36.41,7.33,49.29,0,20,0,0,1,Shaurrya
2/7/2025,Rewe,0,0.99,0,0.99,0,0,0,1,1,Shaurrya
2/6/2025,Kaufland,0.92,2.39,1.65,4.96,0,1.65,0,1,0,Nikhil_Dipanshu
2/3/2025,Rent,0,0,466,466,1,0,0,1,0,Harsh
2/3/2025,Junk food,0,0,1.2,1.2,0,1.2,0,1,0,Harsh
2/3/2025,Junk food,1,0,1,2,0,1,0,1,0,Dipanshu
2/2/2025,Gym,0,0,15.9,15.9,1,0,0,1,0,Harsh
2/1/2025,Junk food,8,0,8,16,0,8,0,1,0,Dipanshu
2/1/2025,Woolworth,0,0,14,14,0,0,1,1,0,Harsh
2/1/2025,Rewe,0,2.44,0.79,3.23,0,0.79,0,1,1,Shaurrya
2/1/2025,Kaufland,0,4.99,5.39,10.13,0,0,0,1,1,Harsh
2/1/2025,Clothes,0,0,19.99,19.99,0,0,1,1,0,Dipanshu
1/30/2025,Aldi,3.88,0,5.51,9.39,0,0,0,1,0,Nikhil
1/30/2025,Kaufland,1.97,3.99,11.79,17.75,0,11.79,0,1,1,Shaurrya
1/29/2025,Rewe,3.93,6.42,4.24,14.59,0,0,0,1,1,Shaurrya
1/28/2025,Rewe,0,2.69,2.37,5.06,0,0.89,0,1,1,Shaurrya
1/28/2025,Rewe,0,0,7.38,7.38,0,7.38,0,1,0,Nikhil_Dipanshu
1/28/2025,Junk food,7.5,0,7.5,15,0,7.5,0,1,0,Nikhil_Dipanshu
1/27/2025,Rewe,0,4.07,2,6.07,0,0,0,1,1,Shaurrya
1/27/2025,O2,0,0,19.99,19.99,1,0,0,1,0,Harsh
1/24/2025,Rewe,0,2.28,1.88,4.16,0,0,0,1,1,Shaurrya
1/23/2025,Kaufland,0,0,3.87,3.87,0,3.87,0,1,0,Harsh
1/22/2025,Kaufland,0,0,3.17,14.52,0,1.38,0,0,0,Nikhil
1/21/2025,Rewe,0,5.02,7.89,12.91,0,0,0,1,1,Shaurrya
1/21/2025,Rewe,0,0,1.89,1.89,0,0,0,1,1,Harsh
1/20/2025,Kaufland,0,8.97,0.6,9.59,0,0,0,1,1,Shaurrya
1/20/2025,Clothes,0,0,49.99,49.99,0,0,1,1,0,Harsh
1/20/2025,Haircut,0,0,18,18,1,0,0,1,0,Harsh
1/19/2025,D/C,2.8,13,0,15.8,0,4.33,0,1,0,Nikhil_Dipanshu
1/19/2025,Hit,0,0,8.16,8.16,0,8.16,0,1,0,Nikhil_Dipanshu
1/19/2025,Hit,6.81,0,1.76,10.51,0,1.79,0,1,0,Nikhil_Dipanshu
1/18/2025,Clothes,0,0,31.98,31.98,0,0,1,1,0,Harsh
1/18/2025,Kaufland,2.58,2.09,3.71,8.38,0,3.71,0,1,1,Shaurrya
1/17/2025,Kaufland,2.17,4.83,1.38,8.38,0,1.38,0,1,1,Shaurrya
1/17/2025,Kaufland,0,11.04,7.99,19.03,0,0,1,1,1,Shaurrya
1/16/2025,Kaufland,2.37,0,1.38,3.18,0,1.38,0,0,0,Shaurrya
1/16/2025,Kaufland,4.17,3.93,0,8.1,0,0,0,0,1,Shaurrya
1/15/2025,TK,0,0,380.13,380.13,0,0,1,1,0,Harsh
1/14/2025,Kaufland,0,0,0,9.15,0,3,0,1,1,Harsh
1/13/2025,Aldi,0,0,3.77,3.77,0,0,0,1,1,Harsh
1/13/2025,Woolworth,1.5,0,1.5,3,0,0,1,1,0,Shaurrya
1/9/2025,Rewe,0,7.71,1.09,8.8,0,0,0,1,1,Shaurrya
1/9/2025,Kaufland,0,11.54,1.61,13.15,0,0,0,0,1,Shaurrya
1/7/2025,Aldi,0,0,1.28,1.28,0,0,0,1,1,Harsh
1/7/2025,Kaufland,0,0,0,4.49,0,4.49,0,1,0,Harsh
1/6/2025,Junk food,0,0,1.2,1.2,0,1.2,0,1,0,Harsh
1/4/2025,Aldi,0,1.99,1.29,3.53,0,0,0,1,1,Shaurrya
1/4/2025,Kaufland,5.61,9.46,4.64,19.71,0,2.77,0,1,1,Shaurrya
1/3/2025,Rewe,0,1.29,1.68,2.97,0,0,0,1,1,Shaurrya
1/3/2025,Kaufland,4.78,16.02,3.3,24.1,0,1.54,0,1,1,Shaurrya
1/3/2025,Rent,0,0,466,466,1,0,0,1,0,Harsh
1/2/2025,Gym,0,0,15.9,15.9,1,0,0,1,0,Harsh
1/2/2025,Woolworth,0,0,3.5,3.5,0,0,1,1,0,Harsh
1/2/2025,Kaufland,0,0,3.09,3.09,0,0,0,1,1,Harsh
